Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	hour	fileDate	date(raven)	Tag 1	Tag 2	notes	Analyst
966	Spectrogram 1	1	4509219.196	4509223.78	33.6	54.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	19504.658	nn03a_20180709_000000.wav	nn03a	5	9-Jul-18	9-Jul-18			marginal	sag
967	Spectrogram 1	1	4512409.296	4512411.533	22	40.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	22694.758	nn03a_20180709_000000.wav	nn03a	6	9-Jul-18	9-Jul-18			marginal	sag
968	Spectrogram 1	1	4515853.78	4515856.091	33.6	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	26139.242	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18			marginal	sag
969	Spectrogram 1	1	4516754.861	4516757.06	36	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	27040.323	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
970	Spectrogram 1	1	4517533.035	4517535.122	33.6	53.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	27818.497	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
971	Spectrogram 1	1	4517737.668	4517739.495	36	48.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28023.13	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
972	Spectrogram 1	1	4518010.948	4518013.594	33.6	53.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28296.41	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
973	Spectrogram 1	1	4518031.258	4518035.172	24.4	36	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28316.72	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
974	Spectrogram 1	1	4518044.376	4518048.178	20.9	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28329.838	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
975	Spectrogram 1	1	4518046.612	4518050.749	32.5	53.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28332.074	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
976	Spectrogram 1	1	4518057.122	4518063.234	30.2	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28342.584	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
977	Spectrogram 1	1	4518069.681	4518072.514	30.2	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28355.143	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18			marginal	sag
978	Spectrogram 1	1	4518270.886	4518274.017	37.1	48.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28556.348	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
979	Spectrogram 1	1	4518272.153	4518275.135	20.9	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28557.615	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
980	Spectrogram 1	1	4518306.066	4518308.265	31.3	52.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28591.528	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
981	Spectrogram 1	1	4518324.811	4518326.675	31.3	53.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28610.273	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
982	Spectrogram 1	1	4518341.619	4518344.303	33.6	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28627.081	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
983	Spectrogram 1	1	4518416.414	4518420.626	20.9	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28701.876	nn03a_20180709_000000.wav	nn03a	7	9-Jul-18	9-Jul-18				sag
984	Spectrogram 1	1	4518612.998	4518616.762	37.1	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28898.46	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
985	Spectrogram 1	1	4518614.861	4518616.389	22	34.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28900.323	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
986	Spectrogram 1	1	4518623.954	4518629.619	34.8	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28909.416	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
987	Spectrogram 1	1	4518629.544	4518631.818	20.9	40.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28915.006	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
988	Spectrogram 1	1	4518639.234	4518642.812	33.6	48.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28924.696	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
989	Spectrogram 1	1	4518675.234	4518677.582	30.2	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	28960.696	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
990	Spectrogram 1	1	4518922.612	4518927.271	23.2	38.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29208.074	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
991	Spectrogram 1	1	4518933.01	4518937.93	24.4	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29218.472	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
992	Spectrogram 1	1	4518935.656	4518939.234	36	52.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29221.118	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
993	Spectrogram 1	1	4518943.221	4518947.135	22	36	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29228.683	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
994	Spectrogram 1	1	4518950.041	4518951.346	23.2	42.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29235.503	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
995	Spectrogram 1	1	4518952.724	4518956.265	23.2	36	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29238.186	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
996	Spectrogram 1	1	4518953.88	4518956.452	36	53.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29239.342	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
997	Spectrogram 1	1	4518960.029	4518962.638	33.6	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29245.491	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
998	Spectrogram 1	1	4518965.06	4518968.191	22	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29250.522	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
999	Spectrogram 1	1	4518967.109	4518969.495	31.3	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29252.571	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1000	Spectrogram 1	1	4518975.867	4518977.917	32.5	52.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29261.329	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1001	Spectrogram 1	1	4518978.55	4518981.122	29	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29264.012	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1002	Spectrogram 1	1	4518984.066	4518988.203	17.4	39.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29269.528	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1003	Spectrogram 1	1	4518986.153	4518991.706	33.6	52.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29271.615	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1004	Spectrogram 1	1	4519003.78	4519007.805	31.3	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29289.242	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1005	Spectrogram 1	1	4519022.227	4519024.687	27.8	40.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29307.689	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1006	Spectrogram 1	1	4519025.991	4519029.346	36	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29311.453	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1007	Spectrogram 1	1	4519029.942	4519031.396	22	36	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29315.404	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1008	Spectrogram 1	1	4519041.271	4519042.576	23.2	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29326.733	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1009	Spectrogram 1	1	4519045.37	4519046.749	31.3	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29330.832	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18			marginal	sag
1010	Spectrogram 1	1	4519077.122	4519079.247	33.6	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29362.584	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1011	Spectrogram 1	1	4519077.494	4519079.06	24.4	34.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29362.956	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1012	Spectrogram 1	1	4519120.873	4519124.787	30.2	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29406.335	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1013	Spectrogram 1	1	4519162.799	4519164.737	31.3	46.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29448.261	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1014	Spectrogram 1	1	4519191.345	4519195.445	24.4	45.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29476.807	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1015	Spectrogram 1	1	4519276.538	4519280.712	22	39.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29562	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1016	Spectrogram 1	1	4519280.898	4519283.544	34.8	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29566.36	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1017	Spectrogram 1	1	4519305.942	4519310.042	32.5	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29591.404	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1018	Spectrogram 1	1	4519325.022	4519328.786	33.6	52.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29610.484	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1019	Spectrogram 1	1	4519329.122	4519330.576	25.5	40.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29614.584	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1020	Spectrogram 1	1	4519371.495	4519374.179	30.2	45.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29656.957	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1021	Spectrogram 1	1	4519383.01	4519386.365	25.5	42.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29668.472	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1022	Spectrogram 1	1	4519397.768	4519401.98	24.4	40.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29683.23	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1023	Spectrogram 1	1	4519403.134	4519404.439	32.5	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29688.596	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1024	Spectrogram 1	1	4519410.401	4519413.085	32.5	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29695.863	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1025	Spectrogram 1	1	4519425.457	4519429.072	24.4	45.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29710.919	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1026	Spectrogram 1	1	4519461.83	4519463.731	32.5	52.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29747.292	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1027	Spectrogram 1	1	4519497.793	4519499.284	23.2	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29783.255	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1028	Spectrogram 1	1	4519500.103	4519501.557	31.3	48.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29785.565	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1029	Spectrogram 1	1	4519514.302	4519518.327	30.2	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29799.764	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1030	Spectrogram 1	1	4519537.817	4519540.016	23.2	36	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29823.279	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1031	Spectrogram 1	1	4519645.109	4519647.047	32.5	47.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	29930.571	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1032	Spectrogram 1	1	4519767.942	4519771.856	33.6	48.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30053.404	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1033	Spectrogram 1	1	4519868.414	4519870.651	32.5	48.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30153.876	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1034	Spectrogram 1	1	4519939.296	4519941.756	33.6	47.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30224.758	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1035	Spectrogram 1	1	4519946.451	4519948.725	22	34.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30231.913	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1036	Spectrogram 1	1	4519959.457	4519961.619	32.5	49.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30244.919	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1037	Spectrogram 1	1	4519966.613	4519969.222	32.5	44.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30252.075	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18			marginal	sag
1038	Spectrogram 1	1	4519974.14	4519976.339	33.6	45.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30259.602	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1039	Spectrogram 1	1	4520213.805	4520216.526	32.5	51	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30499.267	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18			marginal	sag
1040	Spectrogram 1	1	4520301.979	4520304.327	32.5	48.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	30587.441	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
1041	Spectrogram 1	1	4520720.302	4520723.433	22	38.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn03a_201804_apr\nn03a_20180709_000000.wav	31005.764	nn03a_20180709_000000.wav	nn03a	8	9-Jul-18	9-Jul-18				sag
