Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Begin Path	File Offset (s)	Begin File	Site	hour	fileDate	date(raven)	Tag 1	Tag 2	notes	Analyst
24	Spectrogram 1	1	271277.8374	271284.7093	18	62.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	12258.07	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
25	Spectrogram 1	1	271337.3054	271343.032	20.1	74	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	12317.538	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
26	Spectrogram 1	1	271463.3724	271470.0965	15.9	52.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	12443.605	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
27	Spectrogram 1	1	271595.1504	271601.9484	12.7	69.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	12575.383	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
28	Spectrogram 1	1	271843.6994	271851.3102	16.9	74	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	12823.932	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
29	Spectrogram 1	1	272074.9064	272084.3275	3.2	61.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	13055.139	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
30	Spectrogram 1	1	272578.3444	272584.1818	5.3	60.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	13558.577	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18			faint	sag
31	Spectrogram 1	1	272793.9014	272799.3878	21.2	49.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	13774.134	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
32	Spectrogram 1	1	272815.2374	272821.1671	21.2	65.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	13795.47	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
33	Spectrogram 1	1	272826.3254	272833.2527	22.4	43.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	13806.558	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
34	Spectrogram 1	1	272884.9244	272891.3715	24.8	45.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	13865.157	nn01a_20180305_000000.wav	nn01a	3	5-Mar-18	5-Mar-18				sag
35	Spectrogram 1	1	273664.6104	273671.8887	0	79.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	14644.843	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
36	Spectrogram 1	1	274045.4554	274047.82	10.6	88.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	15025.688	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
37	Spectrogram 1	1	275673.9164	275680.0124	1.1	182.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	16654.149	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
38	Spectrogram 1	1	275782.0274	275787.5323	3.2	66.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	16762.26	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
39	Spectrogram 1	1	275853.3544	275860.4849	0	75.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	16833.587	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
40	Spectrogram 1	1	276089.5864	276094.4632	0	112.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17069.819	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
41	Spectrogram 1	1	276119.8444	276125.0168	3.2	74	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17100.077	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
42	Spectrogram 1	1	276842.1874	276847.175	4.2	146.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17822.42	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
43	Spectrogram 1	1	276850.3894	276855.9312	1.1	146.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17830.622	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
44	Spectrogram 1	1	276858.2214	276863.8002	1.1	153.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17838.454	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
45	Spectrogram 1	1	276868.3074	276875.2901	4.2	166	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17848.54	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
46	Spectrogram 1	1	276878.3574	276884.712	2.1	172.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17858.59	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
47	Spectrogram 1	1	276889.7214	276896.8888	5.3	136.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17869.954	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
48	Spectrogram 1	1	276899.8444	276905.3862	16.9	45.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17880.077	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
49	Spectrogram 1	1	276915.3104	276918.6355	21.8	37	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17895.543	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
50	Spectrogram 1	1	276923.3794	276927.9976	1.1	172.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17903.612	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
51	Spectrogram 1	1	276934.6884	276938.6416	12.7	53.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17914.921	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
52	Spectrogram 1	1	276951.0924	276954.4544	3.2	56	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17931.325	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
53	Spectrogram 1	1	276959.6824	276966.0001	0	148	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17939.915	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
54	Spectrogram 1	1	276971.4674	276976.5659	9.5	43.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	17951.7	nn01a_20180305_000000.wav	nn01a	4	5-Mar-18	5-Mar-18				sag
55	Spectrogram 1	1	278688.9384	278694.9605	5.3	61.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	19669.171	nn01a_20180305_000000.wav	nn01a	5	5-Mar-18	5-Mar-18				sag
56	Spectrogram 1	1	278695.3484	278698.8213	36.4	53.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	19675.581	nn01a_20180305_000000.wav	nn01a	5	5-Mar-18	5-Mar-18				sag
57	Spectrogram 1	1	278698.6554	278704.6775	2.1	86.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	19678.888	nn01a_20180305_000000.wav	nn01a	5	5-Mar-18	5-Mar-18				sag
58	Spectrogram 1	1	278704.8434	278707.9838	30.3	49.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	19685.076	nn01a_20180305_000000.wav	nn01a	5	5-Mar-18	5-Mar-18				sag
59	Spectrogram 1	1	278708.7414	278713.3596	5.3	69.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180305_000000.wav	19688.974	nn01a_20180305_000000.wav	nn01a	5	5-Mar-18	5-Mar-18				sag
60	Spectrogram 1	1	403406.7405	403413.4277	18	159.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180324_000000.wav	58047.392	nn01a_20180324_000000.wav	nn01a	16	24-Mar-18	24-Mar-18			W	sag
61	Spectrogram 1	1	403776.0945	403780.4541	18	51.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180324_000000.wav	58416.746	nn01a_20180324_000000.wav	nn01a	16	24-Mar-18	24-Mar-18				sag
62	Spectrogram 1	1	404475.8045	404480.201	21.1	38.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180324_000000.wav	59116.456	nn01a_20180324_000000.wav	nn01a	16	24-Mar-18	24-Mar-18				sag
63	Spectrogram 1	1	496235.5796	496239.2003	25.4	49.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01a_201801_jan\nn01a_20180330_000000.wav	64536.65	nn01a_20180330_000000.wav	nn01a	17	30-Mar-18	30-Mar-18				sag
64	Spectrogram 1	1	566991.9888	566997.1689	36	48.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	48953.478	nn01a_20180619_000000.wav	nn01a	13	19-Jun-18	19-Jun-18			marginal	sag
65	Spectrogram 1	1	567323.1068	567326.7589	34.8	46.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	49284.596	nn01a_20180619_000000.wav	nn01a	13	19-Jun-18	19-Jun-18			marginal	sag
66	Spectrogram 1	1	570585.3178	570590.0507	24.4	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	52546.807	nn01a_20180619_000000.wav	nn01a	14	19-Jun-18	19-Jun-18			marginal	sag
67	Spectrogram 1	1	570952.9208	570957.2437	23.2	37.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	52914.41	nn01a_20180619_000000.wav	nn01a	14	19-Jun-18	19-Jun-18			marginal	sag
68	Spectrogram 1	1	572906.7968	572910.2626	18.6	32.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	54868.286	nn01a_20180619_000000.wav	nn01a	15	19-Jun-18	19-Jun-18				sag
69	Spectrogram 1	1	573292.1378	573298.1377	18.6	31.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	55253.627	nn01a_20180619_000000.wav	nn01a	15	19-Jun-18	19-Jun-18				sag
70	Spectrogram 1	1	579958.8458	579964.9203	19.7	41.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	61920.335	nn01a_20180619_000000.wav	nn01a	17	19-Jun-18	19-Jun-18				sag
71	Spectrogram 1	1	580441.7898	580444.7338	17.4	34.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	62403.279	nn01a_20180619_000000.wav	nn01a	17	19-Jun-18	19-Jun-18				sag
72	Spectrogram 1	1	580564.3988	580567.7901	22	31.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180619_000000.wav	62525.888	nn01a_20180619_000000.wav	nn01a	17	19-Jun-18	19-Jun-18			marginal	sag
73	Spectrogram 1	1	641473.4549	641475.6347	37	47.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180706_000000.wav	37095.363	nn01a_20180706_000000.wav	nn01a	10	6-Jul-18	6-Jul-18			liz added	
74	Spectrogram 1	1	641497.8559	641502.6261	30.1	51.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180706_000000.wav	37119.764	nn01a_20180706_000000.wav	nn01a	10	6-Jul-18	6-Jul-18				sag
75	Spectrogram 1	1	641527.8189	641531.7319	23.4	36.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180706_000000.wav	37149.727	nn01a_20180706_000000.wav	nn01a	10	6-Jul-18	6-Jul-18				sag
76	Spectrogram 1	1	643408.9859	643410.961	29	41.3	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180706_000000.wav	39030.894	nn01a_20180706_000000.wav	nn01a	10	6-Jul-18	6-Jul-18				sag
77	Spectrogram 1	1	643409.9179	643412.9365	21.2	32.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180706_000000.wav	39031.826	nn01a_20180706_000000.wav	nn01a	10	6-Jul-18	6-Jul-18				sag
78	Spectrogram 1	1	643436.5269	643439.6946	32.4	45.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180706_000000.wav	39058.435	nn01a_20180706_000000.wav	nn01a	10	6-Jul-18	6-Jul-18				sag
79	Spectrogram 1	1	643458.7009	643460.2661	20.1	35.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180706_000000.wav	39080.609	nn01a_20180706_000000.wav	nn01a	10	6-Jul-18	6-Jul-18				sag
80	Spectrogram 1	1	643460.5269	643462.0921	27.9	45.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01a_201804_apr\nn01a_20180706_000000.wav	39082.435	nn01a_20180706_000000.wav	nn01a	10	6-Jul-18	6-Jul-18				sag
81	Spectrogram 1	1	747577.988	747582.791	27.3	42.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180220_000000.wav	56860.315	nn01b_20180220_000000.wav	nn01b	15	20-Feb-18	20-Feb-18				sag
82	Spectrogram 1	1	747613.294	747617.395	26.7	40.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180220_000000.wav	56895.621	nn01b_20180220_000000.wav	nn01b	15	20-Feb-18	20-Feb-18				sag
83	Spectrogram 1	1	747929.904	747933.5247	24.8	43	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180220_000000.wav	57212.231	nn01b_20180220_000000.wav	nn01b	15	20-Feb-18	20-Feb-18				sag
84	Spectrogram 1	1	748309.936	748316.6232	26.1	42.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180220_000000.wav	57592.263	nn01b_20180220_000000.wav	nn01b	15	20-Feb-18	20-Feb-18				sag
85	Spectrogram 1	1	812673.4601	812675.603	30.7	43.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180225_000000.wav	35614.67	nn01b_20180225_000000.wav	nn01b	9	25-Feb-18	25-Feb-18			faint	sag
86	Spectrogram 1	1	872805.4763	872811.8679	25.4	69.9	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9405.569	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
87	Spectrogram 1	1	872812.9763	872814.7496	29.7	297.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9413.069	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
88	Spectrogram 1	1	872816.5603	872818.6292	36	60.4	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9416.653	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
89	Spectrogram 1	1	872821.3443	872823.524	33.3	46.7	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9421.437	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
90	Spectrogram 1	1	872839.6143	872842.533	29.7	56.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9439.707	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
91	Spectrogram 1	1	872846.4493	872852.8778	24.4	54	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9446.542	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
92	Spectrogram 1	1	872866.3853	872871.336	21.2	71	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9466.478	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
93	Spectrogram 1	1	872883.8603	872885.7075	31.5	45.5	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9483.953	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
94	Spectrogram 1	1	872896.9023	872899.7471	31.5	43	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9496.995	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				edr
95	Spectrogram 1	1	872929.5103	872932.3551	21.2	46.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9529.603	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
96	Spectrogram 1	1	872987.4643	872990.4569	22.2	57.2	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9587.557	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
97	Spectrogram 1	1	873061.5253	873067.4735	25.4	54	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9661.618	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
98	Spectrogram 1	1	873372.4093	873376.1777	20.1	50.8	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180309_000000.wav	9972.502	nn01b_20180309_000000.wav	nn01b	2	9-Mar-18	9-Mar-18				sag
99	Spectrogram 1	1	987570.3904	987578.5146	10	175.6	L:\ELP\Projects\Nouabale\nn_sounds\nn_201801_jan\nn01b_201801_jan\nn01b_20180311_000000.wav	37829.366	nn01b_20180311_000000.wav	nn01b	10	11-Mar-18	11-Mar-18				srf
100	Spectrogram 1	1	1051091.943	1051097.234	26	44.1	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn01b_201804_apr\nn01b_20180510_000000.wav	15009.801	nn01b_20180510_000000.wav	nn01b	4	10-May-18	10-May-18				sl
